,Video Name,Thumbnail URL,Video ID,length,description snippet,date published
0,Detroit-style pizza at home,https://i.ytimg.com/vi/ahxKAlbp6DU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLArrVzc51USY0pmFvdRAThmXN-RbA,ahxKAlbp6DU,"8 minutes, 39 seconds","Thanks to Native for sponsoring this video! Save 40% on your first Native Body Wash Pack — normally $27, you’ll get it for $17! Use my code RAGUSEA6 here: https://bit.ly/nativeragusea6...",2022-12-01 13:32:39.232965
1,AGE your raw egg eggnog,https://i.ytimg.com/vi/sflZWeCjdco/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAAtee7QS_3xGF8KU1FHn-BQeFTmw,sflZWeCjdco,"10 minutes, 14 seconds","Buy the Adam Ragusea chef knife for Christmas or whatever you're into! https://www.adamragusea.com/store/ragusea-chef-knife

Thanks to Dr. Vincent Fischetti at Rockefeller University: https://www.r...",2022-11-28 13:32:39.232965
2,Is it bad to stare at your phone while eating? Thoughts on protests in Iran? (PODCAST EP 34),https://i.ytimg.com/vi/L2w3gMM16tk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDat3YD9yVbW5VzExyjlp8JWUr_SQ,L2w3gMM16tk,"53 minutes, 6 seconds","Thanks to Harry's for sponsoring this episode! Get your Harry’s Starter Set today and you’ll also get a free travel-sized body wash: https://harrys.com/RAGUSEA

Thanks to Masterworks for...",2022-11-26 13:32:39.232965
3,"How to eat acorns, but maybe don't",https://i.ytimg.com/vi/GoVYQwTXJOM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCG3l0KR26dMBiN8UtoXUmqOSkxPw,GoVYQwTXJOM,"8 minutes, 40 seconds","Thanks to Trade Coffee for sponsoring this video! Get $30 off a subscription with Trade: https://www.drinktrade.com/ragusea

1993 paper on squirrels and oaks: https://www.researchgate.net/publicati...",2022-11-21 13:32:39.232965
4,Why is European butter so much better? Is sourdough bread healthier than other bread? (PODCAST E33),https://i.ytimg.com/vi/-zk1YZMC8d0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBlEp6T2Y45Av7pUeijvdRcAF1P4w,-zk1YZMC8d0,"1 hour, 12 minutes, 47 seconds","Thanks to Indeed for sponsoring this episode! Start hiring now with a $75 sponsored job credit to sponsor your job post at https://indeed.com/ragusea | Offer good for a limited time.

As of...",2022-11-19 13:32:39.232965
5,The SHOCKING SECRET to great chili,https://i.ytimg.com/vi/mb3k0wApWas/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDyEsakFEEQWGkM5yyTdnfwzPDXSQ,mb3k0wApWas,"7 minutes, 52 seconds","Buy my custom chef knife before it sells out again: https://www.adamragusea.com/store/ragusea-chef-knife

***RECIPE***

Cut up some onions and peppers. Cook them in a big pot until soft. Dump...",2022-11-30 13:32:39.232965
6,Nonstick is prob safe — the factories aren't (PFAS contamination),https://i.ytimg.com/vi/vZ1KmVmpC8o/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBG0kUxURlfAq4GZPkqE5lKMucmqg,vZ1KmVmpC8o,"14 minutes, 25 seconds","Thanks to Surfshark for sponsoring this video! Get Surfshark VPN at https://Surfshark.deals/adamragusea — Enter promo code ADAMRAGUSEA for 83% off and 3 extra months for free!

Thanks to...",2022-11-30 13:32:39.232965
7,Why do Americans eat turkey cold? Can you boost testosterone with food/supplements? (PODCAST E32),https://i.ytimg.com/vi/dGJWLSRLaIo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLByOyvs5enHsDWQwmyU7HQPUgpQ_g,dGJWLSRLaIo,"1 hour, 3 minutes, 18 seconds","Thanks to Raycon for sponsoring this episode! Go to https://buyraycon.com/raguseashow to get 20% off site wide with code EARLYBF. Or save 30% on Raycon's holiday bundles.

Thanks to MeUndies...",2022-11-30 13:32:39.233961
8,"Chicken and dumplings (biscuity, Southern-style)",https://i.ytimg.com/vi/JgPfKZovZhA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBrH3Od1J2sENqlixHnpI-kkCmTvQ,JgPfKZovZhA,"9 minutes, 6 seconds","Thanks to HelloFresh for sponsoring this video! Click https://bit.ly/3TZfFPx for 70% off with HelloFresh plus FREE shipping — use my code ADAMRAGUSEA70.

***RECIPE, SERVES 4-6***

1.5 lb...",2022-11-29 13:32:39.233961
9,Industry + immigrants = Detroit-style pizza,https://i.ytimg.com/vi/iY24pIHjT7s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCF9-kAZ3s_HR4DaYtV_Aognac6ow,iY24pIHjT7s,"11 minutes, 1 second",Thanks to Helix Sleep for sponsoring this video! Click here https://helixsleep.com/ragusea for up to $200 off your Helix Sleep mattress plus two free pillows! Free shipping within the US! #helixsle...,2022-11-29 13:32:39.233961
10,"How much protein you should eat and when, with Dr. Mike Israetel (PODCAST E31)",https://i.ytimg.com/vi/LKyniPMgQ94/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDYKzufLCwU52wxRV-te2MvQWK6mw,LKyniPMgQ94,"50 minutes, 36 seconds","Thanks to Raycon for sponsoring this episode! Go to https://buyraycon.com/raguseashow to get 20% off site wide with code EARLYBF. Or save 30% on Raycon's holiday bundles.

Thanks to Trade Coffee...",2022-11-29 13:32:39.233961
11,Cheesy broiled sheet pan pasta with vegetables,https://i.ytimg.com/vi/XR0VKqfSHBk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAD2tThid-PuNCMTaPNnsYNR8z_fA,XR0VKqfSHBk,"7 minutes, 20 seconds","Thanks to Audible for sponsoring this video! Let Audible help you discover new ways to laugh, be inspired, or be entertained. New members can try it free for 30 days. Visit https://audible.com/adam...",2022-11-28 13:32:39.233961
12,Why people cook with caustic alkali,https://i.ytimg.com/vi/QDAu9shX8Xg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDdqfBg2cx1HvGWWlFr1744_0htgg,QDAu9shX8Xg,"10 minutes, 2 seconds",Thanks to LetsGetChecked for sponsoring this video! Got to https://trylgc.com/ragusea and use my code ADAM25 for 25% your at-home test kit.,2022-12-01 13:32:39.233961
13,Can alcohol actually be good for you? Are supplements good as food for vegans? (PODCAST E30),https://i.ytimg.com/vi/yql8F98FkSI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBWKUifgIlt0w8fCh4pw9bNckps3A,yql8F98FkSI,"55 minutes, 46 seconds",Thanks so MyHeritage for sponsoring this episode! Click here https://bit.ly/AdamRagusea_MH and sign up for a 14-day free trial and enjoy all the amazing features MyHeritage has to offer. If...,2022-12-01 13:32:39.233961
